trade_id,strategy,symbol,direction,entry_date,entry_price,return_pct,win,macd0_pct,gap_atr,macd_line,macd_signal,exit_date,exit_price,rsi_entry,weekly_rsi,adx,di_plus,di_minus,rvol,gp_zone
ASTH_2019-10-15_long,SID,ASTH,long,2019-10-15,15.37,6.0182,1,-1.8366,2.0656537707334324,-1.005582415181273,-0.7233020169198715,2019-11-18,16.295,35.21281757297983,42.7630236189755,33.99737464126073,16.84395059533095,32.11103898941901,0.3466662401728086,0.0
AUPH_2019-10-15_long,SID,AUPH,long,2019-10-15,4.67,9.8501,1,-2.1983,2.9889404284361714,-0.4357428081221783,-0.3330825760516724,2019-11-01,5.13,40.24091805116279,29.179375158385156,45.24878111561706,18.68372316838062,37.17386007349588,5.79096609118267,0.0
KNSA_2019-10-21_long,SID,KNSA,long,2019-10-21,5.92,17.0608,1,-1.2797,1.602448378365261,-0.960881592771087,-0.8851241129077378,2019-10-29,6.93,32.99612897652989,21.75764285771544,46.81713165234392,13.56923247130679,37.28776185886947,4.3286249706776445,0.0
AAPL_2019-10-29_short,SID,AAPL,short,2019-10-29,60.8225,-28.6736,0,0.2639,1.600337590340129,1.6987855872877873,1.5382860710663724,2020-02-21,78.2625,65.5694217550287,76.94351402282591,35.81897782665204,38.741335844945915,17.573382603956617,1.3572416949348636,0.0
BAC_2019-10-30_short,SID,BAC,short,2019-10-30,31.62,-8.3491,0,0.6062,1.0359007240418034,0.83312780082478,0.6414334994509655,2020-01-21,34.26,67.8759645812795,61.60566013553136,27.104217714200907,37.13696617095475,17.275749845149374,0.810956355632671,0.0
MCD_2019-10-30_long,SID,MCD,long,2019-10-30,196.89,-0.2997,0,-0.6396,1.6065857813503728,-4.652758487084611,-3.3935354150573827,2019-11-27,196.3,36.79692194545098,37.823022184547646,31.03659864731349,17.69432282657103,37.78578614966415,1.6179676641321208,0.0
GIS_2019-10-31_long,SID,GIS,long,2019-10-31,50.86,3.1656,1,-0.3823,0.9822310472836624,-0.9637098326028308,-0.7692941526327954,2019-11-06,52.47,35.791780873435215,42.319205071044344,25.996815644841668,14.78142845785198,25.13106953170835,1.1166424639471757,0.0
WFC_2019-10-31_short,SID,WFC,short,2019-10-31,51.63,-1.84,0,0.2754,0.8686083941599858,0.8987266223485406,0.7565359711952139,2019-12-03,52.58,64.59161498174613,60.75631973105139,28.143895071743582,32.4558008472059,15.859300428201388,0.8382582268041784,0.0
PFE_2019-11-05_short,SID,PFE,short,2019-11-05,35.529091,1.5208,1,0.3506,2.390498687233353,0.4752711297870817,0.3506928884293308,2019-11-07,34.988761,55.98392179588149,49.29477563032284,24.20574651567904,28.92266586572816,19.561490268398344,1.2016050371889289,0.0
ITW_2019-11-08_short,SID,ITW,short,2019-11-08,176.41,3.2311,1,0.5001,0.7896219113213109,5.897102384171802,5.014847970648627,2019-12-03,170.71,70.66490581960804,70.57722937998717,35.53360278164712,38.46382918697823,14.153449949750753,0.8350792155264429,0.0
PSA_2019-11-13_long,SID,PSA,long,2019-11-13,211.68,0.6047,1,-0.5402,0.7370961787106627,-9.007059397303266,-7.863464398333112,2019-12-31,212.96,22.14275109019472,31.942388813262568,51.45328819015286,6.5936001158232695,41.46186331594684,0.9464928220455016,0.0
XLF_2019-11-13_short,SID,XLF,short,2019-11-13,29.61,-2.6342,0,0.1599,1.3040750890349613,0.5027283367587714,0.4553950378507027,2020-01-24,30.39,67.47819490689659,65.18138806812286,29.91937080765524,36.11265643851703,19.27189919768376,0.9170193090999644,0.0
HON_2019-11-14_short,SID,HON,short,2019-11-14,169.25994225,2.9669,1,0.1724,1.3808076733759411,3.688450362563202,3.3966419837675623,2019-12-02,164.2382028,63.80424145912157,65.31815295814074,30.593834957064804,34.610806041725084,16.43277012013719,0.8357560887853037,0.0
KHC_2019-11-14_short,SID,KHC,short,2019-11-14,30.96,2.3256,1,0.096,0.0,1.2679635922229302,1.2382304460969056,2019-11-21,30.24,53.00489810228174,57.00351166648636,34.98324823745115,29.368065839613,25.783054832348707,2.0701369146375628,0.0
AEHR_2019-11-20_short,SID,AEHR,short,2019-11-20,2.04,6.8627,1,1.4826,1.923515511024568,0.1254735440599257,0.0952285768415587,2019-11-25,1.9,59.00828465508133,71.16882650674218,39.460833836057375,28.417128338154075,9.292983944071732,1.1856006718251757,0.0
MSFT_2019-11-20_short,SID,MSFT,short,2019-11-20,149.62,-14.216,0,0.2611,0.9052288325215078,2.6716312157369373,2.2809256739908426,2020-02-24,170.89,69.22266667652471,71.0140943480344,33.36870408706177,34.839044752889606,15.725523181563725,1.1452286673161212,0.0
SPY_2019-11-20_short,SID,SPY,short,2019-11-20,310.77,-4.0963,0,0.0411,0.8814532625228858,3.3402655699354113,3.212629426519838,2020-01-27,323.5,68.73812958521768,67.0657234585444,26.52453886165021,33.03051555967315,20.080503981821003,1.5156362711400229,0.0
STE_2019-11-29_short,SID,STE,short,2019-11-29,151.14,1.2439,1,0.2228,1.0125578023137358,2.476125539536156,2.139359478941718,2019-12-18,149.26,62.27817459981185,59.05963557679216,28.945475129435653,26.3832834308995,11.540679804274806,0.5568639154514595,0.0
TGT_2019-12-02_short,SID,TGT,short,2019-12-02,123.98,-0.6291,0,0.7367,1.5165620583620991,4.445906029923748,3.532516403666045,2020-01-03,124.76,65.43227966423524,75.1466418610334,31.048435661755395,40.73467833198353,19.14543784014406,0.728953602160706,0.0
VIG_2019-12-02_short,SID,VIG,short,2019-12-02,121.51,0.5761,1,0.0216,0.0,0.6900931931270975,0.6638816614535623,2019-12-03,120.81,54.348931635605865,67.2235883335293,20.063226155167705,29.218646679774857,23.252653543986536,1.321579923421862,0.0
KNSA_2019-12-04_short,SID,KNSA,short,2019-12-04,10.05,-9.4527,0,2.4237,1.4274340930596068,0.9750020267172772,0.7314176753465228,2019-12-30,11.0,61.485988747686186,51.29697253005315,34.62699311041622,30.38291697983244,17.190373904762748,0.924009258313282,0.0
XLP_2019-12-10_short,SID,XLP,short,2019-12-10,62.52,0.064,1,0.1262,0.856549633520649,0.4083503945597329,0.3294377570551403,2020-01-02,62.48,65.66696110712033,67.62768740082826,24.882248714217535,26.065327291892437,12.935824914436704,0.7095922900317146,0.0
XBI_2019-12-17_short,SID,XBI,short,2019-12-17,96.49,3.2439,1,-0.0392,0.3025269789681231,2.9862512238424443,3.0240616566804723,2020-01-03,93.36,73.29868852743896,69.67447909708703,50.60479247466928,31.066218589994936,6.939129518097895,0.9028949820477704,0.0
MCO_2019-12-23_short,SID,MCO,short,2019-12-23,237.06,-9.6895,0,0.1144,0.9471505558975024,4.350576595507221,4.079288786036979,2020-02-25,260.03,71.82018150940391,73.63721222071793,26.542125240704287,30.673962131323307,14.956978434756154,1.4292555100753137,0.0
NEE_2019-12-23_short,SID,NEE,short,2019-12-23,59.695,-7.1488,0,0.2007,2.118073979022188,0.5953712745822557,0.4755699217729627,2020-02-27,63.9625,57.75489843664027,70.36399485475644,24.08550574535209,30.476830778840306,14.70668023758489,1.2417897422580124,0.0
OSW_2019-12-31_short,SID,OSW,short,2019-12-31,16.84,2.6722,1,0.2845,1.0160405725226025,0.3464104902006895,0.2984982267646158,2020-01-13,16.39,63.804380179868055,61.07943083560929,17.91307045761022,23.0147763241482,14.9189967189833,0.3879846450412688,0.0
C_2020-01-03_short,SID,C,short,2020-01-03,79.7,1.606,1,0.178,1.404491612853389,1.4692036856468462,1.3273380016796792,2020-01-24,78.42,62.96348449204769,69.64619809294717,30.28165932218813,32.25030301529064,14.729496516727403,1.1071349115526792,0.0
KNSA_2020-01-13_short,SID,KNSA,short,2020-01-13,13.79,-25.9608,0,0.6315,1.6711108106521042,0.945869267452938,0.8587851310531059,2020-03-09,17.37,61.99051872239865,61.83810863443251,42.124007899626314,30.245923169212972,13.78657020128392,0.6356394289126208,0.0
PFE_2020-01-22_short,SID,PFE,short,2020-01-22,38.09803,5.1008,1,0.1907,1.3205348897284466,0.4688520022490579,0.3961962923262876,2020-01-28,36.154737,62.909482894751974,60.10434920130404,31.01971368156007,25.50931770355766,12.925792757112342,0.9449349346846024,0.0
CLX_2020-01-24_short,SID,CLX,short,2020-01-24,158.28,1.9396,1,0.2291,1.522996178322155,2.047178546493228,1.6845253409085816,2020-01-29,155.21,66.99515581796243,59.320344674043554,28.951266122769105,28.85851707645935,11.389749125360192,1.00467668633918,0.0
MCD_2020-01-24_short,SID,MCD,short,2020-01-24,211.24,-0.4071,0,0.2309,1.1659399064890266,3.917060325006929,3.429293847627202,2020-02-25,212.1,67.88861771001196,62.7079517774201,38.86466619353656,34.53366786564764,16.92849448833897,0.959119832317842,0.0
V_2020-01-24_short,SID,V,short,2020-01-24,205.0,3.0293,1,0.5111,1.884693457397856,5.560627461893546,4.512797267164144,2020-02-24,198.79,74.86549927490897,78.72945065003634,42.100877476066394,44.16630593002934,13.630543098937617,0.9822071598116666,0.0
VIG_2020-01-24_short,SID,VIG,short,2020-01-24,127.79,1.8937,1,0.1067,1.8843543399560692,1.3520178216088397,1.2156438453214296,2020-01-31,125.37,65.85364242686965,74.2598559631372,33.00210288267333,34.749140430537494,19.649975808971483,1.0874455936989584,0.0
XLP_2020-01-24_short,SID,XLP,short,2020-01-24,63.59,0.2908,1,0.1179,1.4438830366585058,0.3915,0.3165,2020-01-31,63.18,59.17439261666138,66.67104333528826,25.677212437121252,23.015837996422388,18.29983608171924,1.1466239734012946,0.0
ABT_2020-01-27_short,SID,ABT,short,2020-01-27,89.59,2.7347,1,0.3702,2.1125123887766755,1.1871269591907063,0.8554244271091273,2020-01-31,87.14,60.459906676508545,64.71927506296672,20.475710778592543,30.52015960002088,18.30897623399756,0.8820246012312609,0.0
IBM_2020-01-27_short,SID,IBM,short,2020-01-27,132.404834,1.3346,1,0.3039,0.0,1.5141124658441356,1.1116883841648506,2020-01-30,130.63778,54.51966795830219,56.35169652236951,19.607644830084375,33.48506664947857,24.769561766974928,0.9853662621712428,0.0
COST_2020-01-29_short,SID,COST,short,2020-01-29,309.58,1.3985,1,0.3009,1.25681957487339,4.1444,3.213,2020-02-03,302.0,63.560005794724034,67.7336739034136,28.699450975732713,26.061420737853968,16.109734384300516,0.7711402720327061,0.0
PSA_2020-01-29_short,SID,PSA,short,2020-01-29,222.08,1.4769,1,0.2514,1.420450454985118,2.882543842113506,2.324192246817211,2020-02-19,218.8,62.27242974693932,49.806585388680745,28.637492765305627,26.51604847249629,18.559877633533993,0.8328267741427312,0.0
TGT_2020-01-30_long,SID,TGT,long,2020-01-30,114.67,2.9999,1,-0.4603,0.9207301661764832,-2.6991410347355327,-2.1713287203467297,2020-02-12,118.11,34.9402585631932,53.19441818159791,34.35501445906563,11.156413031273113,36.70001035717495,0.8239304301525339,0.0
