time,open,high,low,close,Fast MA,Slow MA,GP_Flag,GP_Top,GP_Bot,Long Stop,Long Stop Start,Buy Label,Short Stop,Short Stop Start,Sell Label,Basis,Upper,Lower,Pocket Pivot,WRB Bar,WRB Entry Bar,WRB Prior Bars,True Range,ATR(14),WRB Ratio (TR/ATR),ATR Short Stop Loss,ATR Long Stop Loss,Long Stop Hit,Short Stop Hit,Long Stop Approaching,Short Stop Approaching,ATR% raw (buffer ref),ATR (raw $),Short Stop,Long Stop,MA #1,MA #2,Climax Demand,Climax Supply,Strong Demand,Strong Supply,Demand Candle,Supply Candle,Near Supply Bot,Near Supply Top,Near Demand Top,Near Demand Bot,MACD,Signal Line,Cross,Buy,Sell,StopBuy,StopSell,Distance from Kernel,Upper Envelope: Far,Upper Envelope: Average,Upper Envelope: Near,Envelope Midline,Lower Envelope: Near,Lower Envelope: Average,Lower Envelope: Far,Chars,Chars,Chars,Chars,Shapes,Shapes,DI+,DI-,ADX,Volume,Anomaly Volume (>= Threshold 1σ),HMA(Volume),ALMA(Volume),SMA(Volume),LSMA(Volume),+1σ above Mean (SMA),+2σ above Mean (SMA),RVOL ratio,Z-score,Volume Delta (Open),Volume Delta (High,Volume Delta (Low),Volume Delta (Close),Aroon Oscillator,Zero Line,Signal Line,Long (Chart),Short (Chart),Mean reversion Up,Mean reversion Down,Long,Short
2026-04-27,213.13,216.89,211.56,215.06,,,1,213.86398,212.9715,,,,221.92022917637183,,,219.28900000000021,225.62315471864213,212.9548452813583,0,0,0,0,5.329999999999984,5.580152784247887,0.9551709793763972,222.4701527842479,205.9798472157521,0,0,0,0,2.5946957984971113,5.580152784247887,222.4701527842479,205.9798472157521,221.96345218937705,260.33855000000045,0,0,0,0,1,0,218.31225,218.83,206.75977500000002,206.21,0.18836794724930428,0.5606606657355282,,,,,,0.8880794180549914,238.5084739217474,233.69101025345446,228.87354658516153,219.2386192485757,209.60369191198987,204.78622824369694,199.968764575404,0,0,0,0,,,15.234773780731492,28.575101341072894,15.143462975745987,1343491,,1085728.8055411256,1223700.1229796733,1810197.9,1430309.931764706,2689491.8322391715,3554808.4740021527,0.6843222131459712,-0.5555009198677295,0,5961,-10175,-2227,65.27797528201177,0,57.861298536920934,0,0,,,,
2026-04-28,215.85,217,209.78,213.42,,,0,213.86398,212.9715,,,,221.92022917637183,,,219.1625000000002,225.84955877047165,212.47544122952874,0,0,0,0,7.219999999999999,5.697284728230181,1.26727034796501,222.6972847282302,204.0827152717698,0,0,0,0,2.669517724782205,5.697284728230181,222.6972847282302,204.0827152717698,221.62841484861715,259.8479500000005,0,0,0,0,0,1,218.31225,218.83,206.75977500000002,206.21,-0.28003586991945895,0.39252135860453075,,,,,,1.0657951031422734,238.06925231568368,233.26654902958268,228.46384574348164,218.8584391712796,209.25303259907756,204.45032931297652,199.6476260268755,0,0,0,0,,,13.855732561426077,28.220142380882884,16.50030858702153,1367618,,1048140.3751515152,1267841.5281972717,1778525.35,1474218.496470588,2657309.804749198,3525496.942831729,0.7102906478417078,-0.48549978245196934,0,698,-37368,-9017,60.281856402591856,0,59.01157563271249,0,0,,60.281856402591856,,
2026-04-29,212.88,214.4,210.34,211.81,,,0,213.86398,212.9715,,,,220.1805037286063,,,218.9240000000002,226.27023822100142,211.577761778999,0,0,0,0,4.060000000000002,5.580335819070882,0.7275547801486948,219.9803358190709,204.75966418092912,0,0,0,0,2.6345950706155903,5.580335819070882,219.9803358190709,204.75966418092912,221.2433789722008,259.3300000000005,0,0,0,0,0,1,218.31225,218.83,206.75977500000002,206.21,-0.7722606740269669,0.15956495207823118,,,,,,1.2512657233860016,237.49279985296303,232.70592747848428,227.91905510400554,218.345310355048,208.7715656060905,203.98469323161174,199.197820857133,0,0,0,0,,,13.135675100174115,26.753592417619448,17.760236654634532,1288249,,1052199.8664935066,1303032.809643167,1696004.6,1507445.7129411763,2628336.3566215234,3501493.85610019,0.6708003517480344,-0.5347601749073282,0,17013,-1488,17013,56.148375583431346,0,59.496303127393205,0,0,,,,
2026-04-30,210.31,210.31,202.2148,206.4,,,0,213.86398,212.9715,,,,215.2006677479916,,,218.4270000000002,227.53819553076082,209.31580446923957,0,1,1,0,9.595200000000006,5.867111831994391,1.6354213580309982,216.17711183199438,196.34768816800562,0,0,0,0,2.8425929418577476,5.867111831994391,216.17711183199438,196.34768816800562,220.66128567917332,258.8217000000005,0,0,1,0,0,0,218.31225,218.83,206.44145,205.9,-1.5806731481963538,-0.18848266797668584,,,,,,1.9225090943073018,236.52431991136996,231.7505642471583,226.9768085829467,217.42929725452342,207.88178592610015,203.10803026188853,198.33427459767688,0,0,0,0,,,11.601220556532635,33.5202940144707,19.961496617422814,3093708,3093708,1266583.5638095238,1708689.7453638797,1757491.85,1598346.9952941178,2646286.7833700823,3530011.6619782597,1.6366773344061678,1.5062901672911864,0,8616,-16125,-12271,42.63604330873178,0,58.15455873398032,0,0,,,,
2026-05-01,217,218.88,206.57,208.11,,,0,213.86398,212.9715,,,,215.2006677479916,,,217.95200000000017,228.11398720722323,207.7900127927771,0,1,1,1,12.47999999999999,6.339460986851933,1.9686216266467382,225.21946098685194,200.23053901314805,0,0,0,0,3.0462068073864463,6.339460986851933,225.21946098685194,200.23053901314805,220.16907839763712,258.3126500000005,0,0,0,0,0,1,218.31225,218.83,206.75977500000002,206.21,-2.059621119147323,-0.5627103582108133,,,,,,1.3480097580358217,235.7121199345174,230.94490691711135,226.1776938997053,216.64326786489323,207.10884183008116,202.3416288126751,197.57441579526906,0,0,0,0,,,19.62597634448654,28.806810033867542,19.889662850954203,2392419,,1526238.624848485,2088421.7836143617,1790585.8,1645981.917647059,2681448.0236440557,3575169.571097635,1.2347139729316072,0.6766005872102261,0,28807,-21860,28807,31.347072071315957,0,55.00657475922316,0,0,,,,
2026-05-04,207.89,211.075,205.6401,207.03,,,0,213.86398,212.9715,,,,215.2006677479916,,,217.3400000000002,228.53278338929704,206.14721661070337,0,0,0,1,5.434899999999999,6.274849487791081,0.8661402971616508,217.34984948779106,199.36525051220892,0,0,0,0,3.030888995696798,6.274849487791081,217.34984948779106,199.36525051220892,219.65382042125918,257.77825000000047,0,0,0,0,0,1,218.31225,218.83,206.75977500000002,206.21,-2.4975476363408404,-0.9496778138368187,,,,,,1.3697211049026536,234.83587031372943,230.07502240960775,225.3141745054861,215.79247869724276,206.2707828889994,201.50993498487776,196.74908708075608,0,0,0,0,,,18.4117728456936,28.08314860266215,19.954753314427908,1213454,,1670773.7957575757,2084280.9798916876,1779403.25,1577025.9552941176,2665145.6877777106,3567188.042222088,0.6225881384263002,-0.60933871965679,0,885,-21282,-196,21.87255593714859,0,50.335781016208294,0,0,,,,
2026-05-05,206.29,207.69,204.72,205.8,,,0,213.86398,212.9715,,,,214.8581832151376,,,216.75150000000016,229.0200292924531,204.48297070754722,0,0,0,1,2.969999999999999,6.0387888100917175,0.4918204781456648,213.72878881009171,198.68121118990828,0,0,0,0,2.934299713358463,6.0387888100917175,213.72878881009171,198.68121118990828,219.11053334591568,257.2415500000005,0,0,0,0,0,1,218.3655,218.88,205.11705,204.58,-2.9103100342977086,-1.3418042579289966,,,,,,1.4616361416462855,233.88404716419467,229.13169384607227,224.37934052794986,214.87463389170506,205.36992725546025,200.61757393733785,195.86522061921545,0,0,0,0,,,17.76496663680229,28.184907994210946,20.149182140644193,1290862,,1722072.9178354978,1825005.8557455675,1751414.2,1528525.3364705883,2661230.9871481545,3566322.5933439275,0.6935205096905274,-0.5140666179725243,0,7617,-20074,-20074,13.88809850892731,0,44.37645724456879,0,0,,,,
2026-05-06,207.4,209.08,196.8,196.91,,,0,213.86398,212.9715,,,,206.6368844140563,,,215.55700000000016,230.3984434607887,200.7155565392116,0,1,1,1,12.280000000000001,6.484589609370881,1.893720457228962,215.5645896093709,190.31541039062913,0,0,0,0,3.2931743483677214,6.484589609370881,215.5645896093709,190.31541039062913,218.23992419509545,256.6849000000005,0,0,0,0,0,1,218.3655,218.88,,,-3.9097072402832964,-1.8553848543998566,,,,,,2.4381905268686417,232.33962931783822,227.58936757897095,222.83910584010368,213.33858236236912,203.83805888463456,199.0877971457673,194.33753540690003,0,0,1,0,,,15.36197515522354,33.096435132189335,21.324046255845595,2243975,,1795192.8067532468,1739386.6437228469,1778152,1580975.4070588236,2685774.119130022,3596678.762069567,1.2241119575232056,0.5149886186721931,0,5510,-64408,-64408,4.256241110737195,0,36.96352727561197,0,0,,,,
2026-05-07,194.27,203.13,194.15,201.94,,,0,211.91578,211.1865,,,,206.6368844140563,,,214.7345000000002,230.6417869779767,198.8272130220237,0,0,0,1,8.97999999999999,6.662833208701531,1.3477749958189384,209.79283320870152,187.48716679129848,0,0,0,0,3.29941230499234,6.662833208701531,209.79283320870152,187.48716679129848,217.60071148156229,256.1325500000005,0,0,1,0,0,0,218.3655,218.88,,,-4.24690211972748,-2.333688307465381,,,,,,1.414522670162285,231.22258208505858,226.47121493426323,221.7198477834679,212.21711348187722,202.71437918028653,197.9630120294912,193.21164487869586,0,0,0,0,,,13.883083298037683,32.75117244804428,22.690880071900665,3218124,3218124,2012862.3648484848,2071852.7752602855,1857160.9,1681942.3741176473,2807747.031697524,3768771.9681569524,1.764000193385733,1.4270201039885309,0,51055,-3841,6750,-4.59868296828265,0,28.22894499432517,0,0,,,,0
2026-05-08,200.89,201.19,196.65,198.87,,,0,211.91578,211.1865,,,,206.6368844140563,,,214.0005000000002,231.3481978011422,196.65280219885818,0,0,0,1,5.289999999999992,6.564773693794278,0.8058160489219396,207.75477369379428,190.08522630620573,0,0,0,0,3.3010377099584036,6.564773693794278,207.75477369379428,190.08522630620573,216.86617377640297,255.57295000000045,0,0,0,0,0,1,218.3655,218.88,,,-4.7075886820301776,-2.8084683823783405,,,,,,1.6581757385427125,229.93219280471763,225.18073762113534,220.42928243755307,210.92637207038848,201.4234617032239,196.67200651964163,191.92055133605933,0,0,0,0,,,13.083996774460616,30.86607099235541,23.960082901094662,1596737,,2149932.9076190474,2201964.5041897763,1678360.7,1656763.24,2806250.957975141,3767742.1540455204,0.8500002040620412,-0.25795635250580823,0,0,-34654,-3852,-12.094716464711244,0,19.181873385912287,0,0,,,,
2026-05-11,197.95,200.34,195.14,198.57,,,0,211.91578,211.1865,,,,206.61093478778488,,,212.80400000000017,230.92547720247407,194.68252279752627,0,0,0,1,5.200000000000017,6.467289858523259,0.8040462255061791,206.80728985852326,188.67271014147673,0,0,0,0,3.256931993011663,6.467289858523259,206.80728985852326,188.67271014147673,216.14867676556364,255.02050000000045,0,0,0,0,1,0,218.3655,218.88,194.74571,194.15,-5.0388093370305285,-3.254536573308778,,,,,,1.4882257579120406,228.68082008848808,223.92978379318072,219.17874749787333,209.6766749072586,200.17460231664384,195.42356602133646,190.6725297260291,0,0,0,0,,,12.33255833010061,30.76110795784809,25.303215556414823,1809562,,2223399.8027705625,2147067.818491464,1653749.55,1675652.5976470588,2294094.2580740806,2903580.1351957796,0.9691862533268051,0.20501478990409613,0,36725,-1685,36725,-18.460573866553272,0,9.855754704664212,0,0,,,,
2026-05-12,199.4,202.91,195.81,197.4,,,0,211.91578,211.1865,,,,206.61093478778488,,,211.67850000000016,230.67003840529628,192.68696159470403,0,0,0,1,7.099999999999994,6.512483440057311,1.0902139046264527,209.4224834400573,189.2975165599427,0,0,0,0,3.299130415429236,6.512483440057311,209.4224834400573,189.2975165599427,215.4134345394631,254.43180000000046,0,0,0,0,0,1,218.3655,218.88,194.74571,194.15,-5.334223703916479,-3.6704739994303184,,,,,,1.4263937292122313,227.4196050030603,222.66785287296665,217.916100742873,208.4125964826857,198.9090922224984,194.15734009240475,189.4055879623111,0,0,0,0,,,14.190954455193584,28.365665985179415,25.87497788340121,2051185,,2244006.5743722944,2030718.766575796,1697394.65,1675301.3058823529,2272334.263055971,2871993.478492894,1.1043974024790901,0.6312084307837458,0,7348,-11361,-11361,-23.881799976214786,0,1.5410242940458945,0,0,,,,
2026-05-13,194.78,197.22,190.75,192,,,0,211.91578,211.1865,,,,201.7834590772227,,,210.1200000000002,230.16995261839153,190.07004738160887,0,0,0,1,6.650000000000006,6.52230605148179,1.0195780368952796,203.7423060514818,184.2276939485182,0,0,0,0,3.397034401813432,6.52230605148179,203.7423060514818,184.2276939485182,214.49526063595476,253.84620000000047,0,0,0,0,0,1,218.3655,218.88,,,-5.935654063112963,-4.1235100121668475,,,,,,1.9621168760790297,225.8400960129262,221.08717610865222,216.3342562043782,206.82841639583017,197.32257658728216,192.56965668300813,187.81673677873414,0,0,1,0,,,13.157469777686682,31.841302611391818,26.99253383571454,2543365,2543365,2275492.0703030303,2091794.481458893,1763497.5,1726805.9811764706,2353979.6096801143,2970280.266979276,1.3681659750073079,1.3072938314715365,0,2549,-32921,-31256,-31.388212592364937,0,-6.300886288914215,0,0,,,,
2026-05-14,195.18,198.7409,193.49,197.68,,,0,211.91578,211.1865,,,,201.7834590772227,,,208.80000000000018,228.4724528211354,189.12754717886497,0,0,0,0,6.7409000000000106,6.537919904947377,1.03104658637666,205.2788199049474,186.95208009505262,0,0,0,0,3.307324921563829,6.537919904947377,205.2788199049474,186.95208009505262,213.83583865023104,253.39285000000046,0,0,1,0,0,0,202.4158,202.91,194.74571,194.15,-5.886111990539121,-4.476030407841302,,,,,,0.8850695708713039,224.7561378226238,220.00281166805715,215.2494855134905,205.7428332043572,196.2361808952239,191.48285474065725,186.7295285860906,0,0,0,0,,,13.850097368476783,29.496312156873124,27.642764084459035,3020143,3020143,2386909.6855411255,2367579.098193233,1835779.35,1847545.3623529414,2485237.8231382146,3147137.884371667,1.6362396781145228,1.8081358624820012,0,4692,-36365,-11176,-37.75192420522876,0,-13.75394630671138,0,0,,,,
2026-05-15,199.72,200.67,196.32,199.95,,,0,211.91578,211.1865,,,,201.5724598676053,,,207.71700000000016,226.8261371861683,188.607862813832,0,0,0,0,4.349999999999994,6.381639911736849,0.6816429726784887,207.05163991173683,189.93836008826315,0,0,0,0,3.191617860333508,6.381639911736849,207.05163991173683,189.93836008826315,213.29129595806512,252.96340000000046,0,0,0,0,1,0,202.4158,202.91,194.74571,194.15,-5.599136156009308,-4.700651557474903,,,,,,0.4020695732244185,223.92026648585224,219.16819739904707,214.41612831224194,204.91199013863164,195.40785196502134,190.6557828782162,185.90371379141104,0,0,0,0,,,15.33496062218973,28.060172592468575,27.76285616746572,2388400,,2485781.361731602,2530468.492694387,1862646.9,1877342.336470588,2532069.0189131573,3202043.418778696,1.2675115363769283,0.7855604349330493,0,17346,-32489,17346,-43.16312054532435,0,-20.885348688492837,0,0,,,,
2026-05-18,199.88,208.15,198.875,207.15,,,0,211.91578,211.1865,201.9275372657951,201.9275372657951,201.9275372657951,,,,206.9210000000002,224.68461551035597,189.15738448964441,0,0,0,0,9.275000000000006,6.588308489469932,1.407796859364464,214.73830848946994,192.28669151053006,0,0,0,0,3.180453048259682,6.588308489469932,214.73830848946994,192.28669151053006,213.0504608224547,252.56290000000047,0,0,0,0,1,0,218.3655,218.88,206.75977500000002,206.21,-4.736130745411799,-4.707747395062283,,,,,,0.7338475170560946,223.71084477441374,218.95720148705595,214.20355819969814,204.6962716249825,195.18898505026687,190.43534176290905,185.68169847555126,0,0,0,0,,,21.902528016085714,25.23852810326128,26.285268882195343,1613989,,2481979.0027705627,2380619.819457337,1877950.55,1851613.4117647056,2522865.354445708,3194924.6612723684,0.8466824135747233,-0.35237522226610307,0,4561,-8439,1058,-47.77654241996828,0,-27.38944662983102,0,0,,,,
2026-05-19,209.24,210.24,203.41,203.45,,,0,211.91578,211.1865,201.9275372657951,,,,,,205.87050000000016,221.74557792106262,189.9954220789377,0,0,0,0,6.8300000000000125,6.6055721687935085,1.03397553239472,216.84557216879352,196.80442783120648,0,0,0,0,3.2467791441599947,6.6055721687935085,216.84557216879352,196.80442783120648,212.6739721627506,252.15930000000048,0,0,0,0,0,1,218.3655,218.88,202.732375,202.2148,-4.301170600409023,-4.6264320361316305,,,,,,0.22256375557387756,223.31456672666584,218.55884910135006,213.8031314760343,204.29169622540275,194.78026097477118,190.02454334945543,185.26882572413965,0,0,0,0,,,22.544904873209717,23.374526636659233,24.536798959908076,1961844,,2424291.6184415584,2157599.298580219,1898520,1845689.1435294119,2543191.588018355,3204437.6998462332,1.0259902102709788,0.12083023609569632,0,0,-38198,-38198,-51.718901523248924,0,-33.2794739492018,0,0,,,,
2026-05-20,203.35,204.9833,199.67,203.61,,,0,211.91578,211.1865,201.9275372657951,,,,,,204.99550000000016,219.26186250064492,190.7291374993554,0,0,0,0,5.313300000000027,6.513267013879688,0.8157657268890486,211.4965670138797,193.1567329861203,0,0,0,0,3.198893479632478,6.513267013879688,211.4965670138797,193.1567329861203,212.3185222740153,251.75430000000048,0,0,0,0,1,0,218.3655,218.88,202.732375,202.2148,-3.898610138080244,-4.480867656521353,,,,,,0.28753273598231327,222.99966499837006,218.242825504425,213.48598601048,203.97230702258992,194.45862803469984,189.70178854075482,184.94494904680977,0,0,0,0,,,21.23123625095698,26.114035386252393,23.520825581110383,1470534,,2270473.075238095,1888487.4264913453,1906578.4,1797774.9858823526,2541509.328100785,3204878.9419158557,0.7675607363735935,-0.6144473696067477,0,22217,-1170,22217,-54.375013466369765,0,-38.56451107440912,0,0,,,,
